Title,Latitude,Longitude,Address,Category,Status,Completion Date,Storeys,Height in ft
Upper East Village Condos,43.7136483,-79.3602391,"939 Eglinton Avenue East, Toronto","Condo, Office, Public Space, Residential, Retail, Townhouse",Pre-Construction,0,28,326
Regent Park: Daniels DuEast,43.66155565,-79.3606987,"225 Sumach Street , Toronto","Co-op, Condo, Office, Retail",Under Construction,"Spring, 2020",29,316
"Regent Park: Sutton Collection, The",43.66155565,-79.3606987,"Sutton Avenue and Shuter Street, Toronto",Townhouse,Under Construction,2018,4,0
Regent Park: The Wyatt,43.66155565,-79.3606987,"Dundas and Sumach, Toronto","Condo, Retail",Under Construction,2019,27,0
Regent Park: Block 16 North,43.66211128,-79.36092255,"241 Sumach, Toronto","Office, Rental",Pre-Construction,0,12,143
"Upper House Condos, The",43.7034437,-79.3614034,"25 Malcolm Rd., Toronto","Condo, Townhouse",Complete,2018,7,0
Leaside Manors,43.7023341,-79.3614584,"3 Southvale Drive, Toronto",Residential,Pre-Construction,0,7,92
31 Parliament Street,43.648908,-79.361469,"31 Parliament Street, Toronto","Condo, Retail",Pre-Construction,0,39,0
31R Parliament Street,43.648908,-79.361469,"31R Parliament St, Toronto","Condo, Office, Retail",Pre-Construction,0,49,0
33 Parliament,43.64911533,-79.36155633,"33 Parliament St, Toronto","Condo, Retail",Pre-Construction,0,39,430
Regent Park Community Centre,43.6577582,-79.3618808,"402 Shuter St, Toronto",Institutional,Complete,"February, 2016",2,0
Aquabella at Bayside,43.6448676,-79.3618926,"5 Kanadario Lane, Toronto","Condo, Retail",Pre-Construction,"Fall, 2020",14,0
One Park Place,43.66017556,-79.36202578,"581 Dundas St E, Toronto",Condo,Complete,"Summer, 2015",28,315
Aqualuna at Bayside,43.646263,-79.362073,"263 Queens Quay E, Toronto","Condo, Retail",Pre-Construction,0,16,0
Aqualuna at Bayside,43.646263,-79.362073,"263 Queens Quay E, Toronto","Condo, Retail",Pre-Construction,0,16,0
home: Power and Adelaide,43.65429628,-79.36294433,"48 Power Street, Toronto","Condo, Retail",Under Construction,0,22,0
150 Laird,43.7085525,-79.3629761,"150 Laird Drive, Toronto","Rental, Residential",Pre-Construction,0,8,0
Blythwood at Huntington,43.6875156,-79.3633608,"1888 Bayview Av, Toronto",Condo,Under Construction,2014,9,0
Aquavista at Bayside,43.6442891,-79.3634915,"30 Merchants' Wharf, Toronto","Condo, Rental, Retail",Under Construction,2018,13,154
Evergreen Brick Works,43.6842334,-79.3636009,"550 Bayview Av, Toronto",Public Space,Complete,2010,0,0
King + Condos,43.6524424,-79.3637159,"251 King Street East, Toronto","Condo, Retail",Complete,2016,17,174
351 Queen East,43.6554147,-79.3640509,"351 Queen Street East, Toronto","Condo, Retail",Pre-Construction,0,29,339
T3 Bayside,43.645546,-79.364102,"255 Queens Quay E, Toronto","Office, Retail",Pre-Construction,0,10,134
T3 Bayside,43.645546,-79.364102,"255 Queens Quay E, Toronto","Office, Retail",Pre-Construction,0,10,134
Monde,43.645729,-79.364291,"12 Bonnycastle St, Toronto","Condo, Retail",Under Construction,2016,44,492
"Globe and Mail Centre, The",43.6512999,-79.3644336,"351 King St E, Toronto",Office,Complete,"Late, 2016",17,273
815 Eglinton Avenue East,43.7134862,-79.3645111,"815 Eglinton Avenue East, Toronto","Public Space, Residential, Retail",Pre-Construction,0,6,0
191 Parliament Street,43.65623969,-79.3645185,"191 Parliament Street, Toronto","Office, Residential, Retail",Pre-Construction,0,11,136
East United Condos,43.653559,-79.3647706,"95 Berkeley Street, Toronto","Condo, Retail",Under Construction,0,24,0
Aqualina at Bayside,43.6452915,-79.364811,"215 Queens Quay E, Toronto","Condo, Retail",Under Construction,2017,13,157
Scala,43.7756574,-79.364994,"1 Adra Villaway, Toronto",Condo,Pre-Construction,"Fall, 2019",18,0
George Brown College: The Arbour,43.64517821,-79.36512284,"185 Queens Quay E, Toronto",Institutional,Pre-Construction,0,12,172
Bauhaus Condos,43.6522086,-79.36533762,"284 King Street East, Toronto","Residential, Retail",Pre-Construction,0,30,0
"Brownstones of Leaside, The",43.7088443,-79.3653425,"220 McRae Dr, Toronto",Townhouse,Pre-Construction,0,4,0
George Brown College Waterfront Campus,43.6441001,-79.3656079,"51 Dockside Dr, Toronto",Institutional,Complete,2012,8,0
East FiftyFive,43.653071,-79.36622946,"55 Ontario St, Toronto",Condo,Pre-Construction,0,24,273
The Shift,43.65254,-79.366284,"25 Ontario Street, Toronto",Office,Pre-Construction,0,23,0
The Shift,43.65254,-79.366284,"25 Ontario Street, Toronto",Office,Pre-Construction,0,23,0
301 Queen Street East,43.65503655,-79.36645133,"301-317 Queen Street East, Toronto","Condo, Retail",Pre-Construction,0,25,0
254 King Street East,43.651668,-79.366898,"254 King St. East, Toronto","Office, Residential, Retail",Pre-Construction,0,32,351
Lakeside Residences,43.6457198,-79.36706196,"215 Lake Shore Blvd E, Toronto","Condo, Retail",Pre-Construction,0,49,515
Lakeside Residences,43.6457198,-79.36706196,"215 Lake Shore Blvd E, Toronto","Condo, Retail",Pre-Construction,0,49,515
East Lofts Condos,43.65140038,-79.36724692,"275 King St E, Toronto","Condo, Office, Retail",Complete,2010,12,0
Axiom Condos,43.652529,-79.367271,"424 Adelaide St E, Toronto","Condo, Retail",Under Construction,0,19,0
Time and Space Condos,43.650347,-79.36766,"177 Front St E, Toronto","Condo, Retail",Pre-Construction,0,29,334
Parliament Street Data Centre,43.6643573,-79.3679761,"43A Parliament St, Toronto",Office,Complete,2015,5,0
Pavilia Park Towns,43.6643573,-79.3679761,"South Park Rd. and Saddlecreek Dr., Thornhill",Townhouse,Pre-Construction,2018,3,0
100 Queens Quay at Sugar Wharf,43.6438898,-79.3690696,"100 Queens Quay East, Toronto","Office, Retail",Under Construction,2021,25,385
100 Queens Quay at Sugar Wharf,43.6438898,-79.3690696,"100 Queens Quay East, Toronto","Office, Retail",Under Construction,2021,25,385
595 Parliament,43.6677246,-79.3691487,"595 Parliament St, Toronto","Condo, Office, Retail",Pre-Construction,0,5,60
L-Tower,43.6485158,-79.3696598,"2 The Esplanade, Toronto",Condo,Under Construction,2015,58,672
Rezen Condos,43.651804,-79.369677,"205 Frederick Street, Toronto",Condo,Complete,0,13,0
U of T: Myhal Centre for Engineering Innovation and Entrepreneurship,43.6504745,-79.3704475,"55 St. George Street, Toronto",Institutional,Under Construction,"Fall, 2016",8,0
U of T: Myhal Centre for Engineering Innovation and Entrepreneurship,43.6504745,-79.3704475,"55 St. George Street, Toronto",Institutional,Under Construction,"Fall, 2016",8,0
65 George,43.650681,-79.370467,"187 King St E, Toronto",Condo,Pre-Construction,0,17,235
Discovery at Concord Park Place,43.7695026,-79.3708357,"33 Singer Court, Toronto","Condo, Retail",Complete,2012,28,0
Market Wharf,43.6474748,-79.3709243,"18 Lower Jarvis, Toronto","Condo, Retail",Complete,2013,33,362
Opus and Omega on the Park Condos at Concord Park Place,43.76923698,-79.3709454,"20 Provost Dr, North York",Condo,Pre-Construction,0,36,0
33 Sherbourne,43.6582303,-79.3709605,"33 Sherbourne Street, Toronto","Condo, Retail",Pre-Construction,0,37,418
561 Sherbourne,43.6582303,-79.3709605,"561 Sherbourne St, Toronto","Rental, Retail",Under Construction,2017,43,0
"Selby, The",43.6582303,-79.3709605,"592 Sherbourne Street, Toronto","Rental, Retail",Under Construction,0,50,0
Post House Condominiums,43.6515301,-79.3710124,"105 George Street, Toronto",Condo,Complete,2014,21,0
Via Bloor,43.671921,-79.3711187,"575 Bloor Street E., Toronto","Condo, Retail",Under Construction,"Winter, 2021",46,0
231 Richmond East Condos DEAD,43.652766,-79.371377,"231 Richmond Street East, Toronto",Condo,Pre-Construction,0,18,0
129-151 George Street,43.6529726,-79.3714782,"129 George Street, Toronto",Condo,Pre-Construction,0,20,0
Vü Condos,43.65261225,-79.37163438,"116 George Street, Toronto","Condo, Retail",Complete,2010,24,274
Seasons and Saisons at Concord Park Place,43.76694,-79.3717922,"69 McMahon Drive, Toronto",Condo,Under Construction,2020,36,379
St Lawrence Market North,43.6496874,-79.37198036,"92 Front St E, Toronto","Institutional, Office, Public Space, Retail",Pre-Construction,0,5,83
307 Sherbourne Street,43.661164,-79.372069,"307 Sherbourne Street, Toronto",Residential,Pre-Construction,0,15,0
Wellesley Parliament Square,43.670977,-79.3721704,"Rose Ave & St James, Toronto","Office, Public Space, Residential, Retail",Pre-Construction,0,51,0
Wellington House,43.670977,-79.3721704,"422 Wellington Ave W, Toronto","Condo, Retail",Pre-Construction,0,17,188
Downtown Data Centre,43.6488527,-79.3730035,"281 Front St E, Toronto",Industrial,Pre-Construction,0,4,0
St. Lawrence Condos at 158 Front,43.6488527,-79.3730035,"158 Front Street East, Toronto","Condo, Retail",Under Construction,2018,26,0
in.DE Dundas East & Jarvis Condominiums,43.657314,-79.373234,"219 Dundas Street East, Toronto","Condo, Retail",Pre-Construction,0,21,215
in.DE Dundas East & Jarvis Condominiums,43.657314,-79.373234,"219 Dundas Street East, Toronto","Condo, Retail",Pre-Construction,0,21,215
O2 Toronto,43.6555818,-79.3732774,"102 Shuter St., Toronto",Condo,Under Construction,2015,14,156
Oak & CO Condos,43.6555818,-79.3732774,"Trafalgar Rd & Dundas St E, Oakville","Condo, Retail",Pre-Construction,"May, 2020",25,0
75 on The Esplanade,43.64681235,-79.37351992,"75 The Esplanade, Toronto","Condo, Retail",Under Construction,0,29,328
133 Queen East,43.65355485,-79.37357215,"133 Queen St. E, Toronto","Condo, Retail",Pre-Construction,0,41,0
1410 Bayview,43.70139794,-79.37372608,"1410 Bayview Avenue, Toronto","Condo, Retail, Townhouse",Pre-Construction,0,8,94
"Berczy, The",43.64844,-79.373742,"63 Front St E, Toronto","Condo, Retail",Complete,2014,13,0
"Dale, The",43.67388217,-79.37375275,"5 Dale Ave, Toronto",Condo,Pre-Construction,"Spring, 2019",4,55
203 Jarvis Street,43.655512,-79.373835,"203 Jarvis St., Toronto","Condo, Hotel",Pre-Construction,0,32,355
St. James Cathedral Parish House,43.6504971,-79.37400189,"65 Church Street, Toronto",Institutional,Complete,2012,0,0
Backstage On The Esplanade,43.6470473,-79.3740872,"1 The Esplanade, Toronto",Condo,Under Construction,2015,36,0
90 Queen East,43.653624,-79.374132,"90 Queen St E, Toronto","Condo, Retail",Pre-Construction,0,35,0
Grid Condos,43.65704679,-79.37417143,"181 Dundas Street East, Toronto","Condo, Retail",Under Construction,"August, 2018",50,518
Tower at Pier 27,43.64197518,-79.37424318,"7 Queens Quay E, Toronto","Condo, Retail",Under Construction,0,35,0
Seaton House Redevelopment,43.65970045,-79.37432335,"339 George Street, Toronto",Institutional,Pre-Construction,2021,9,121
Dundas Square Gardens,43.657184,-79.374408,"200 Dundas St E, Toronto","Condo, Retail",Under Construction,2019,50,512
Ryerson: Jarvis Street Residence,43.656206,-79.37458666,"186 Jarvis St, Toronto",Rental,Under Construction,"August, 2018",30,320
Concord Park Place: Bessarion Community Centre and Woodsy Park,43.768826,-79.37468,"1001 Sheppard Avenue East, Toronto","Institutional, Public Space",Under Construction,2021,4,0
159SW Condos,43.666933,-79.374714,"159 Wellesley Street East, Toronto","Condo, Retail",Under Construction,2020,36,0
Ryerson: Science Building & Student Residence,43.657165,-79.374722,"202 Jarvis St, Toronto","Institutional, Residential, Retail",Pre-Construction,0,41,0
London On The Esplanade Condos,43.64698945,-79.37472225,"38 The Esplanade, Toronto",Condo,Complete,0,33,335
Sixty Colborne Condos,43.649204,-79.374809,"60 Colborne Street, Toronto","Condo, Retail",Under Construction,"Summer, 2017",25,270
Garden District Condos,43.655074,-79.374826,"79-85 Shuter St, Toronto",Condo,Pre-Construction,0,32,0
Garden District Condos,43.655074,-79.374826,"79-85 Shuter St, Toronto",Condo,Pre-Construction,0,32,0
295 Jarvis Street,43.6588218,-79.3748529,"295 Jarvis Street, Toronto",Condo,Pre-Construction,0,36,0
J. Davis House,43.7049522,-79.3750899,"1 Belsize Drive, Toronto",Condo,Under Construction,0,9,0
89 Church Street,43.651957,-79.375126,"89 Church St, Toronto","Rental, Retail",Pre-Construction,0,45,0
Ivy Condos,43.65586,-79.3751308,"69 Mutual St, Toronto",Condo,Pre-Construction,"Summer, 2020",32,0
88 North (88 Queen East),43.655242,-79.375136,"50 Mutual St, Toronto","Condo, Public Space, Retail",Under Construction,2019,27,0
Park Towns Bayview and Sheppard,43.76993935,-79.37514415,"784 Sheppard Ave E., Toronto",Townhouse,Complete,2017,4,0
Max Condos,43.6560298,-79.37520064,"75 Mutual St, Toronto","Condo, Retail",Pre-Construction,0,36,374
Spire Condos,43.651335,-79.375254,"98 Church Street, Toronto",Condo,Complete,2007,45,475
Fleur Condos,43.6550307,-79.3754777,"60 Shuter St, Toronto","Condo, Retail",Under Construction,0,29,0
65 King Street East,43.649587,-79.37549,"65 King Street East, Toronto","Office, Retail",Under Construction,0,18,0
Pace Condos,43.656465,-79.3754925,"Dundas and Jarvis, Toronto",Condo,Under Construction,2014,42,480
Paintbox,43.656465,-79.3754925,"Dundas Street East at Sackville Street, Toronto","Co-op, Condo",Complete,2012,26,0
PRIME Condos,43.65980543,-79.37550879,"319 Jarvis St, Toronto","Condo, Retail",Pre-Construction,0,45,487
PRIME Condos,43.65980543,-79.37550879,"319 Jarvis St, Toronto","Condo, Retail",Pre-Construction,0,45,487
120 Church,43.6521269,-79.3755113,"120 Church St, Toronto","Condo, Retail",Pre-Construction,0,45,0
500 Sherbourne,43.66796725,-79.37558104,"500 Sherbourne Street, Toronto","Condo, Townhouse",Complete,2011,34,0
60 Queen East,43.6533112,-79.3756573,"60 Queen Street East, Toronto","Condo, Retail",Pre-Construction,0,54,615
Hurvitz Brain Sciences Centre at Sunnybrook Hosptial,43.72285855,-79.3756614,"2075 Bayview Avenue, Toronto",Public Space,Pre-Construction,0,2,0
18 Dalhousie,43.6542418,-79.375686,"18 Dalhousie St, Toronto","Condo, Retail",Pre-Construction,0,49,0
"King Edward Private Residences, The",43.64923995,-79.37608589,"37 King St E, Toronto",Condo,Complete,2013,0,0
Pinnacle Centre Condos,43.6428769,-79.37620719,"12 Yonge St, Toronto","Condo, Retail",Complete,2011,55,0
18 Yonge Condos,43.6442904,-79.3762474,"18 Yonge St., Toronto",Condo,Complete,2006,39,0
88 Scott Street,43.6486592,-79.3762731,"40 Scott Street, Toronto","Condo, Office, Retail",Under Construction,0,58,0
280 Jarvis Street,43.6606003,-79.3762895,"280 Jarvis Street, Toronto","Condo, Office, Retail",Pre-Construction,0,25,0
60 Richmond Street East,43.6523792,-79.3763039,"60 Richmond Street East, Toronto",Co-op,Complete,2010,11,0
North St. James Town,43.671526,-79.3763485,"609 Sherbourne St, Toronto","Condo, Rental, Retail",Pre-Construction,0,50,0
Bayview & Hillsdale,43.70825358,-79.376349,"1680 Bayview Ave, Toronto","Condo, Rental, Retail",Pre-Construction,0,7,95
James Cooper Mansion,43.670837,-79.376437,"28 Linden Street, Toronto",Condo,Complete,0,32,0
308-314 Jarvis & 225 Mutual,43.66167767,-79.3765265,"308 Jarvis St, Toronto",Condo,Pre-Construction,0,34,0
199 Church,43.65538715,-79.37654884,"199 Church St, Toronto",Condo,Pre-Construction,0,37,0
34-50 King East,43.649501,-79.376634,"34 King Street East, Toronto","Office, Rental, Retail",Pre-Construction,0,33,369
Social at Church + Dundas,43.65592735,-79.37677129,"215 Church Street, Toronto","Condo, Retail",Pre-Construction,2020,52,0
Sunnybrook Plaza Redevelopment,43.711517,-79.3767901,"660 Eglinton Avenue East, Toronto","Rental, Retail",Pre-Construction,0,19,217
Parkside Student Residences,43.6621242,-79.37703454,"111 Carlton Street, Toronto","Rental, Residential",Under Construction,0,0,0
Berczy Park Revitalization,43.6478709,-79.3772414,"35 Wellington St E, Toronto",Public Space,Under Construction,2016,0,0
"Metropolitan, The",43.65427793,-79.37736807,"51 Bond St., Toronto","Rental, Retail",Pre-Construction,0,37,0
Ryerson University: Daphne Cockwell Health Sciences Complex,43.65674824,-79.37736959,"270 Church St, Toronto","Institutional, Residential",Under Construction,"Summer, 2018",27,347
"Modern, The",43.6520037,-79.377527,"320 Richmond Street East, Toronto",Condo,Complete,2012,17,0
Yonge & Rich Condominiums,43.651897,-79.377577,"25 Richmond St E, Toronto",Condo,Under Construction,2018,46,513
Li Ka Shing Knowledge Institute,43.6529779,-79.3775788,"30 Bond St, Toronto",Institutional,Complete,2011,9,0
"Rosedale on Bloor, The",43.67201357,-79.37785081,"387 Bloor St E, Toronto","Condo, Hotel, Retail",Under Construction,2020,52,0
Casey House,43.668684,-79.37791,"9 Huntley St, Toronto",Institutional,Under Construction,2016,4,0
Ivory On Adelaide,43.6505369,-79.377921,"406 Adelaide St East, Toronto",Condo,Under Construction,2014,22,0
RBC WaterPark Place III,43.6411427,-79.3781763,"85 Harbour Street, Toronto","Office, Retail",Under Construction,2014,30,460
Real Towns,43.6411427,-79.3781763,"Ilan Ramon Boulevard and Lebovic Campus Drive, Vaughan",Townhouse,Under Construction,0,3,0
Regent Park Athletic Grounds,43.6411427,-79.3781763,"Shuter St. and River St., Toronto",Public Space,Under Construction,0,0,0
1 King West Hotel and Residence,43.6487854,-79.37818312,"1 King West, Toronto","Condo, Hotel, Retail",Complete,2006,51,0
401 Bay Street (formerly Simpson Tower),43.6439637,-79.3782113,"401 Bay Street, Toronto",Office,Under Construction,0,33,0
CIBC SQUARE,43.6439637,-79.3782113,"45 Bay Street, Toronto","Office, Public Space, Retail",Under Construction,2022,50,792
CIBC SQUARE,43.6439637,-79.3782113,"45 Bay Street, Toronto","Office, Public Space, Retail",Under Construction,2022,50,792
Peter Gilgan Centre for Research and Learning,43.6439637,-79.3782113,"660 Bay St, Toronto",Institutional,Complete,2013,21,0
St Regis Toronto Hotel and Residences,43.6439637,-79.3782113,"311 Bay St., Toronto","Condo, Hotel",Complete,2012,58,925
St Regis Toronto Hotel and Residences,43.6439637,-79.3782113,"311 Bay St., Toronto","Condo, Hotel",Complete,2012,58,925
The HUB,43.6439637,-79.3782113,"30 Bay Street, Toronto",Office,Pre-Construction,0,60,898
The HUB,43.6439637,-79.3782113,"30 Bay Street, Toronto",Office,Pre-Construction,0,60,898
Sherwood at Huntington,43.7172672,-79.3783768,"1900 Bayview Ave, Toronto",Condo,Under Construction,"Spring, 2018",8,0
400 Front Street,43.6460685,-79.378472,"400 Front St W, Toronto","Condo, Public Space, Retail",Pre-Construction,0,59,0
ORCA Project,43.6460685,-79.378472,"433 Front St W, Toronto","Office, Public Space, Residential, Retail, Transit",Pre-Construction,0,0,0
Oxford Place,43.6460685,-79.378472,"211 Front Street West, Toronto","Condo, Hotel, Office, Public Space, Retail",Pre-Construction,0,0,0
The Well,43.6460685,-79.378472,"410 Front St. W., Toronto","Condo, Office, Public Space, Rental, Retail, Townhouse",Under Construction,0,36,571
Union Station Revitalization,43.6460685,-79.378472,"75 Front St W, Toronto",Institutional,Under Construction,2016,0,0
Union Subway Station: Second Platform and Concourse Improvements,43.6460685,-79.378472,"Front Street & Bay Street, Toronto",Public Space,Under Construction,"Spring, 2015",0,0
University Heights Professional and Medical Centre,43.6460685,-79.378472,"35 Tangiers Rd & Finch Ave W, Toronto","Office, Retail",Under Construction,0,8,0
365 Church Condos,43.660811,-79.378788,"365 Church Street, Toronto","Condo, Retail",Complete,2017,31,335
"Dineen Building, The",43.6511494,-79.378928,"140 Yonge Street, Toronto","Office, Retail",Complete,"Fall, 2012",5,0
Massey Hall Revitalization,43.6539472,-79.3789811,"178 Victoria St, Toronto",Institutional,Pre-Construction,0,6,159
100 Wellesley East,43.66652685,-79.37918537,"100 Wellesley Street East, Toronto","Rental, Retail",Pre-Construction,0,10,103
St. Michael's Hospital Patient Care Tower & Emergency Department,43.6559184,-79.3794141,"131 Victoria St, Toronto",Institutional,Under Construction,"Late, 2017",17,0
2 Queen West,43.652485,-79.379465,"2 Queen St W, Toronto","Office, Retail",Pre-Construction,0,7,113
Massey Tower Condos,43.65325152,-79.37948092,"197 Yonge St, Toronto",Condo,Under Construction,"Late, 2018",60,0
Commerce Court 3,43.64767146,-79.37972543,"197 Bay St, Toronto",Office,Pre-Construction,0,64,0
Ryerson Centre for Urban Innovation,43.6599342,-79.37977743,"44 Gerrard St E, Toronto",Institutional,Under Construction,"September, 2018",5,0
Ryerson Image Centre,43.6599342,-79.37977743,"Gould Street & Bond Street, Toronto",Institutional,Complete,2012,5,0
Velocity at the Square (was HNR Dundas Square Tower),43.65585457,-79.37986357,"21 Dundas Square, Toronto","Office, Rental, Retail",Complete,"January, 2017",40,402
X The Condominium ,43.66978515,-79.3799464,"588 Jarvis Street,, Toronto",Condo,Complete,2010,44,0
Eighty One Wellesley,43.66581029,-79.38006336,"81 Wellesley Street East, Toronto",Condo,Pre-Construction,0,28,0
Ryerson's Mattamy Athletics Centre + Loblaws at the Gardens,43.6620397,-79.3801385,"60 Carlton St, Toronto","Institutional, Retail",Complete,2012,0,0
Pinnacle One Yonge,43.654027,-79.3802003,"1 Yonge St, Toronto","Condo, Hotel, Office, Retail",Pre-Construction,2017,95,"1,007"
Pinnacle One Yonge,43.654027,-79.3802003,"1 Yonge St, Toronto","Condo, Hotel, Office, Retail",Pre-Construction,2017,95,"1,007"
One Front,43.6456424,-79.3802085,"1 Front Street West, Toronto","Hotel, Rental, Retail",Pre-Construction,0,49,561
X2 Condominiums,43.669787,-79.380288,"101 Charles St E, Toronto","Condo, Retail",Under Construction,2014,49,0
Telus House - 25 York Street,43.643481,-79.3803828,"25 York St, Toronto","Office, Retail",Complete,"May, 2010",30,0
Bay Adelaide Centre,43.65029805,-79.38047725,"333 Bay St, Toronto","Office, Retail",Under Construction,2016,44,643
Couture The Condominium,43.6705473,-79.38051176,"28 Ted Rogers Way, Toronto",Condo,Complete,2013,42,0
Sun Life Financial Tower & Harbour Plaza Residences,43.641137,-79.380564,"90 Harbour St, Toronto","Condo, Office, Retail",Under Construction,"Summer, 2016",67,776
Bay Adelaide Centre North,43.650684,-79.380917,"40 Temperance St, Toronto","Office, Retail",Pre-Construction,0,32,460
SIX25BV Condominiums,43.7681352,-79.3809303,"625 Sheppard Ave E, Toronto",Condo,Pre-Construction,"Fall, 2019",8,0
Maple Leaf Square,43.6426866,-79.380936,"15 York Street, Toronto","Condo, Hotel, Office, Public Space, Retail",Complete,2011,54,0
Church and Wellesley,43.665764,-79.381092,"552 Church Street, Toronto","Public Space, Rental, Residential, Retail",Pre-Construction,0,39,0
Vida Condos,43.7680316,-79.3812033,"2 Cusack Ct, North York",Condo,Pre-Construction,0,8,94
Ten York Street Condos ,43.6424814,-79.3813058,"10 York Street, Toronto",Condo,Under Construction,"April, 2018",65,0
572 Church Street,43.6663815,-79.3813475,"572 Church Street, Toronto","Residential, Retail",Pre-Construction,0,16,179
Ten93 Queen West,43.6519376,-79.3814863,"1093 Queen St W, Toronto","Condo, Retail",Under Construction,"Summer, 2018",9,0
First Canadian Place Rejuvenation,43.6487681,-79.38169179,"100 King Street West, Toronto","Office, Retail",Complete,2012,72,978
"Homes of The Bridle Path, The",43.7365931,-79.3817484,"2425 Bayview Ave., Toronto",Townhouse,Pre-Construction,0,3,0
YSL Residences - Yonge Street Living (383 Yonge),43.6588276,-79.3818554,"383 Yonge St, Toronto","Condo, Office, Rental, Residential, Retail",Pre-Construction,0,85,981
Southcore Financial Centre & Delta Toronto,43.6431862,-79.381921,"18 York St, Toronto","Hotel, Office, Retail",Under Construction,2014,45,524
50 at Wellesley Station,43.6655754,-79.3819966,"50 Wellesley St E, Toronto",Condo,Under Construction,"Summer, 2017",37,377
16 York,43.6424483,-79.38201595,"16 York Street, Toronto","Office, Retail",Under Construction,0,32,0
Panda Condominiums,43.65694126,-79.38206729,"20 Edward St, Toronto","Condo, Office, Retail",Under Construction,0,30,353
8 Elm,43.65788641,-79.38207629,"8 Elm St, Toronto",Condo,Pre-Construction,0,80,0
INDX Condos,43.65053245,-79.38210489,"70 Temperance St, Toronto",Condo,Under Construction,0,54,586
415 Yonge,43.6597452,-79.3821704,"415 Yonge St, Toronto","Office, Residential, Retail",Pre-Construction,0,61,785
Richmond Adelaide Centre: EY Tower,43.649652,-79.382332,"100 Adelaide Street West, Toronto","Office, Retail",Complete,"Summer, 2017",40,0
Richmond Adelaide Centre: EY Tower,43.649652,-79.382332,"100 Adelaide Street West, Toronto","Office, Retail",Complete,"Summer, 2017",40,0
"Bayview Terraced Condominium Residences, The",43.76674395,-79.38244876,"17 Rean Dr, North York",Condo,Complete,2010,10,0
66 Isabella,43.6683718,-79.3825444,"66 Isabella, Toronto","Rental, Retail",Under Construction,"Late, 2015",23,240
Aura at College Park,43.6592954,-79.3825676,"388 Yonge Street, Toronto","Condo, Retail",Complete,2014,78,0
2 Carlton,43.6615267,-79.3825865,"2 Carlton St, Toronto","Condo, Retail",Pre-Construction,0,73,824
"Charles at Church, The",43.66943167,-79.382797,"68 Charles St. E., Toronto","Condo, Rental, Retail",Pre-Construction,0,47,0
"Charles at Church, The",43.66943167,-79.382797,"68 Charles St. E., Toronto","Condo, Rental, Retail",Pre-Construction,0,47,0
Richmond Adelaide Centre: 85 Richmond West,43.650738,-79.382798,"85 Richmond Street West, Toronto",Office,Under Construction,0,11,0
Crafthouse,43.7827408,-79.3828039,"50 Page Ave, Toronto",House,Complete,2016,2,0
NY2 Condominiums,43.76685234,-79.3828126,"18 Rean Drive, Toronto","Condo, Rental, Retail",Under Construction,2014,7,0
Union Centre,43.6398653,-79.3829113,"Lower Simcoe St and Station St, Toronto","Office, Public Space, Retail",Pre-Construction,0,52,0
Atrium on Bay Expansion,43.6560663,-79.382924,"595 Bay Street, Toronto","Office, Retail",Pre-Construction,0,19,270
Infinity Condos,43.642244,-79.3829356,"30 Grand Trunk Crescent, Toronto","Condo, Retail",Under Construction,0,35,0
Stanley Condominiums,43.6613916,-79.3829715,"70-72 Carlton Street, Toronto","Condo, Rental, Retail",Under Construction,"Winter, 2020",41,454
"Cardiff, The",43.7099731,-79.3830699,"492 Eglinton Avenue East, Toronto","Condo, Residential, Retail",Pre-Construction,0,12,0
Chelsea Green (was 33 Gerrard),43.6584252,-79.38313772,"33 Gerrard Street West, Toronto","Condo, Hotel, Office, Public Space, Retail",Pre-Construction,0,84,905
Vox Condominiums,43.6653202,-79.3831538,"28 Wellesley St E, Toronto",Condo,Under Construction,2018,35,0
475 Yonge Street,43.6625902,-79.38316,"475 Yonge Street, Toronto","Condo, Hotel, Public Space, Residential, Retail",Pre-Construction,0,58,624
22 Condominiums,43.6655034,-79.3833168,"22 Wellesley St E, Toronto",Condo,Complete,2007,23,0
Bay and Edward Condos,43.656527,-79.3835016,"70-100 Edward Street, Toronto","Condo, Retail",Pre-Construction,0,22,0
Totem Condos,43.666037,-79.38356,"17 Dundonald St, Toronto",Condo,Under Construction,2018,18,210
33 Isabella,43.6676484,-79.3836949,"33 Isabella Street, Toronto","Office, Rental",Pre-Construction,0,4,83
Ontario Square and Canada Square,43.6394636,-79.383704,"Queens Quay W & Lower Simcoe St, Toronto",Public Space,Complete,"June, 2013",0,0
TeaHouse 501 Yonge Condominiums,43.663172,-79.383716,"501 Yonge St., Toronto","Condo, Retail",Under Construction,0,52,0
Richmond Adelaide Centre: 120 & 130 Adelaide West Recladding,43.64967865,-79.38376362,"130 Adelaide St W, Toronto","Office, Retail",Under Construction,0,35,449
Casa III Condos,43.669216,-79.3838115,"50 Charles St E, Toronto","Condo, Office, Retail",Pre-Construction,0,55,589
Motion On Bay Street,43.6551177,-79.383814,"570 Bay Street, Toronto","Rental, Retail",Complete,"Fall, 2012",29,0
"Village Residences, The",43.7674729,-79.384,"591 Sheppard Ave East, North York","Condo, Institutional, Office, Retail",Under Construction,0,10,124
